symbol,interval,initial_capital,final_capital,total_return,total_trades,winning_trades,losing_trades,win_rate,avg_win,avg_loss,profit_factor,max_drawdown,sharpe_ratio,commission_paid
BTCUSDT,15m,220.0,1766883.52,803028.87,30,9,21,30.0,1044.69,-556.25,0.8,-54.71,-0.75,284.19
BTCUSDT,1h,220.0,7632.71,3369.41,22,8,14,36.36,11.58,-4.73,1.4,-5.09,1.49,1.86
BTCUSDT,4h,220.0,372.37,69.26,17,7,10,41.18,1.99,-1.08,1.29,-3.67,1.84,0.24
ETHUSDT,15m,220.0,3304145.56,1501784.34,96,27,69,28.12,2231.87,-1306.73,0.67,-25.51,-1.53,1633.73
ETHUSDT,1h,220.0,2247.87,921.76,64,19,45,29.69,5.82,-3.94,0.62,-5.96,-3.14,3.1
ETHUSDT,4h,220.0,369.74,68.06,45,17,28,37.78,1.97,-1.07,1.12,-2.6,0.8,0.63
BNBUSDT,15m,220.0,65327119.62,29694045.28,39,12,27,30.77,42081.63,-15566.14,1.2,-22.75,0.57,9930.85
BNBUSDT,1h,220.0,3290.88,1395.86,38,14,24,36.84,11.12,-4.54,1.43,-21.28,2.3,2.57
BNBUSDT,4h,220.0,303.42,37.92,23,10,13,43.48,1.83,-0.88,1.6,-7.59,3.44,0.27
SOLUSDT,15m,220.0,8223478.5,3737844.77,108,36,72,33.33,8299.53,-3280.47,1.26,-15.18,0.83,5113.07
SOLUSDT,1h,220.0,1542.25,601.02,87,30,57,34.48,5.37,-2.47,1.14,-6.26,0.89,2.97
SOLUSDT,4h,220.0,306.11,39.14,62,26,36,41.94,1.92,-0.99,1.4,-6.54,2.5,0.81
