symbol,interval,strategy,total_trades,winning_trades,losing_trades,win_rate,total_return,final_capital,max_drawdown,by_strategy
BTCUSDT,15m,TREND_FOLLOWING,3,0,3,0.0,-5.391248542955263,208.13925320549842,5.391248542955263,"{'TREND_FOLLOWING': {'trades': 3, 'wins': 0, 'total_pnl': -11.829777667888129, 'win_rate': 0.0}}"
BTCUSDT,1h,TREND_FOLLOWING,8,3,5,37.5,-5.6614509117762095,207.54480799409234,11.890785158414875,"{'TREND_FOLLOWING': {'trades': 8, 'wins': 3, 'total_pnl': -12.373715248174495, 'win_rate': 37.5}}"
BTCUSDT,4h,TREND_FOLLOWING,6,4,2,66.66666666666666,25.899669400326026,276.97927268071726,6.941795762813148,"{'TREND_FOLLOWING': {'trades': 6, 'wins': 4, 'total_pnl': 57.056307294556404, 'win_rate': 66.66666666666666}}"
ETHUSDT,15m,MEAN_REVERSION,12,4,8,33.33333333333333,-11.725263335418184,194.20442066208,19.624399413192815,"{'MEAN_REVERSION': {'trades': 12, 'wins': 4, 'total_pnl': -25.66331504328666, 'win_rate': 33.33333333333333}}"
ETHUSDT,1h,MEAN_REVERSION,10,4,6,40.0,-11.219660943350776,195.3167459246283,22.963011347540508,"{'MEAN_REVERSION': {'trades': 10, 'wins': 4, 'total_pnl': -24.570588918660185, 'win_rate': 40.0}}"
ETHUSDT,4h,MEAN_REVERSION,7,3,4,42.857142857142854,-12.850914731439063,191.72798759083406,33.856955024366094,"{'MEAN_REVERSION': {'trades': 7, 'wins': 3, 'total_pnl': -28.188492463031803, 'win_rate': 42.857142857142854}}"
SOLUSDT,15m,MOMENTUM,0,0,0,0.0,0.0,220.0,0.0,{}
SOLUSDT,1h,MOMENTUM,3,2,1,66.66666666666666,16.121955088091447,255.46830119380118,0.714519152437775,"{'MOMENTUM': {'trades': 3, 'wins': 2, 'total_pnl': 35.50218708413468, 'win_rate': 66.66666666666666}}"
SOLUSDT,4h,MOMENTUM,2,1,1,50.0,3.1287118591077827,226.88316609003712,12.096047738516983,"{'MOMENTUM': {'trades': 2, 'wins': 1, 'total_pnl': 6.903064196024069, 'win_rate': 50.0}}"
BNBUSDT,15m,RANGE_TRADING,10,4,6,40.0,-1.3052830438463885,217.12837730353795,10.078430053880918,"{'RANGE_TRADING': {'trades': 10, 'wins': 4, 'total_pnl': -2.760285153475243, 'win_rate': 40.0}}"
BNBUSDT,1h,RANGE_TRADING,13,8,5,61.53846153846154,58.313229854731816,348.28910568041,8.258504134011664,"{'RANGE_TRADING': {'trades': 13, 'wins': 8, 'total_pnl': 128.47084290144124, 'win_rate': 61.53846153846154}}"
BNBUSDT,4h,RANGE_TRADING,6,4,2,66.66666666666666,16.16048496728024,255.55306692801653,11.691632945742981,"{'RANGE_TRADING': {'trades': 6, 'wins': 4, 'total_pnl': 35.622840442004325, 'win_rate': 66.66666666666666}}"
ADAUSDT,15m,MEAN_REVERSION,15,4,11,26.666666666666668,-41.620070543997294,128.43584480320595,43.50377256119623,"{'MEAN_REVERSION': {'trades': 15, 'wins': 4, 'total_pnl': -91.43300987186623, 'win_rate': 26.666666666666668}}"
ADAUSDT,1h,MEAN_REVERSION,15,5,10,33.33333333333333,-32.07586248790269,149.43310252661408,44.131891883054934,"{'MEAN_REVERSION': {'trades': 15, 'wins': 5, 'total_pnl': -70.40114179759591, 'win_rate': 33.33333333333333}}"
ADAUSDT,4h,MEAN_REVERSION,9,5,4,55.55555555555556,38.343844546992564,304.35645800338364,24.190183539175887,"{'MEAN_REVERSION': {'trades': 9, 'wins': 5, 'total_pnl': 84.46764963466742, 'win_rate': 55.55555555555556}}"
DOGEUSDT,15m,MOMENTUM,1,1,0,100.0,0.2776053792361469,220.61073183431952,0.0023999999999995743,"{'MOMENTUM': {'trades': 1, 'wins': 1, 'total_pnl': 0.6212868639053309, 'win_rate': 100.0}}"
DOGEUSDT,1h,MOMENTUM,6,5,1,83.33333333333334,35.33409418799041,297.7350072135789,10.60235788255699,"{'MOMENTUM': {'trades': 6, 'wins': 5, 'total_pnl': 77.80414068923679, 'win_rate': 83.33333333333334}}"
DOGEUSDT,4h,MOMENTUM,4,3,1,75.0,13.692384375884076,250.12324562694496,0.7871115438108734,"{'MOMENTUM': {'trades': 4, 'wins': 3, 'total_pnl': 30.16800735877385, 'win_rate': 75.0}}"
