symbol,interval,initial_capital,final_capital,total_return,total_trades,winning_trades,losing_trades,win_rate,avg_win,avg_loss,profit_factor,max_drawdown,sharpe_ratio,commission_paid
BTCUSDT,15m,220.0,64486874.01,29312115.46,4,2,2,50.0,3549419.32,-57.21,62042.35,-31.06,8.69,143732.68
BTCUSDT,1h,220.0,64701532.73,29409687.6,12,5,7,41.67,5244319.08,-4380602.46,0.86,-71.33,-0.67,866123.76
BTCUSDT,4h,220.0,81588.72,36985.78,14,4,10,28.57,3612.69,-1298.53,1.11,-40.65,0.5,400.58
ETHUSDT,15m,220.0,6.62745718079918e+19,3.0124805367269e+19,33,10,23,30.3,8.21082089135043e+17,-5.793665509215143e+16,6.16,-98.41,2.35,1.7030001676134378e+17
ETHUSDT,1h,220.0,19572980484.39,8896809211.09,50,16,34,32.0,260032194.58,-111885577.4,1.09,-92.64,0.21,135404815.48
ETHUSDT,4h,220.0,493.03,124.11,13,4,9,30.77,64.29,-20.54,1.39,-54.97,1.85,6.08
BNBUSDT,15m,220.0,6772673.72,3078388.05,16,8,8,50.0,429315.68,-13317.84,32.24,-98.49,5.73,36781.25
BNBUSDT,1h,220.0,9778645.91,4444739.05,24,8,16,33.33,497382.39,-215623.32,1.15,-95.71,0.71,117057.39
BNBUSDT,4h,220.0,488072.37,221751.08,12,6,6,50.0,10357.27,-3085.81,3.36,-43.7,4.77,1326.28
SOLUSDT,15m,220.0,6.8940410717356e+20,3.133655032607091e+20,50,15,35,30.0,3.8493446153841016e+16,-1.8769388472425124e+18,0.01,-99.91,-2.76,1.8679627331128292e+18
SOLUSDT,1h,220.0,591719991835.01,268963632552.28,44,17,27,38.64,2627498717.44,-686135207.02,2.41,-90.13,1.28,942384398.29
SOLUSDT,4h,220.0,3757.08,1607.76,17,5,12,29.41,163.98,-40.53,1.69,-72.33,2.16,15.17
